variant_id,symbol,regime_id,regime_type,signal_date,entry_price,stop_loss,target_price,risk_rupees,risk_pct,target_multiple,exit_price,realized_r,is_win,is_stopped_out,is_timeout,holding_bars,post_sl_recovered
PULLBACK_CHAMPION_V1,3MINDIA,NEUTRAL_2_WINTER_CHOP,NEUTRAL,2025-12-16,1646.180405644753,1563.87,1851.96,82.31040564475279,5.000084156178168,2.5,1697.9025169807337,0.6283787685266745,False,False,True,25,False
PULLBACK_CHALL_A_1_5ATR,3MINDIA,NEUTRAL_2_WINTER_CHOP,NEUTRAL,2025-12-16,1646.180405644753,1603.11,1753.86,43.07040564475278,2.616384297678697,2.5,1591.9659652118703,-1.0,False,True,False,7,False
PULLBACK_CHALL_B_1_8ATR,3MINDIA,NEUTRAL_2_WINTER_CHOP,NEUTRAL,2025-12-16,1646.180405644753,1572.1,1831.38,74.08040564475277,4.500138951401138,2.5,1697.9025169807337,0.6981888245052335,False,False,True,25,False
PULLBACK_CHALL_C_2ATR_SHELF,3MINDIA,NEUTRAL_2_WINTER_CHOP,NEUTRAL,2025-12-16,1646.180405644753,1557.43,1868.06,88.75040564475262,5.391292797583271,2.5,1697.9025169807337,0.5827816893932009,False,False,True,25,False
PULLBACK_CHALL_D_ADAPTIVE,3MINDIA,NEUTRAL_2_WINTER_CHOP,NEUTRAL,2025-12-16,1646.180405644753,1588.56,1790.23,57.620405644752736,3.500248541847076,2.5,1588.56,-1.0,False,True,False,7,False
PULLBACK_CHAMPION_V1,3MINDIA,BULL_2_MOMENTUM,BULL,2026-05-07,1955.6062599874197,1857.83,2200.05,97.77625998741952,4.999792749080713,2.5,1843.715733839808,-1.0,False,True,False,3,False
PULLBACK_CHALL_A_1_5ATR,3MINDIA,BULL_2_MOMENTUM,BULL,2026-05-07,1955.6062599874197,1919.01,2047.1,36.59625998741944,1.8713511373017837,2.5,1903.1777832375587,-1.0,False,True,False,1,False
PULLBACK_CHALL_B_1_8ATR,3MINDIA,BULL_2_MOMENTUM,BULL,2026-05-07,1955.6062599874197,1867.6,2175.62,88.00625998741953,4.500203429906472,2.5,1843.715733839808,-1.0,False,True,False,3,False
PULLBACK_CHALL_C_2ATR_SHELF,3MINDIA,BULL_2_MOMENTUM,BULL,2026-05-07,1955.6062599874197,1887.16,2126.72,68.44625998741935,3.500002090802249,2.5,1884.7136388249985,-1.0,False,True,False,2,False
PULLBACK_CHALL_D_ADAPTIVE,3MINDIA,BULL_2_MOMENTUM,BULL,2026-05-07,1955.6062599874197,1887.16,2126.72,68.44625998741935,3.500002090802249,2.5,1884.7136388249985,-1.0,False,True,False,2,False
PULLBACK_CHAMPION_V1,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-17,1450.5420815560217,1378.01,1631.87,72.5320815560217,5.000343146075106,2.5,1363.1919208062293,-1.0,False,True,False,20,False
PULLBACK_CHALL_A_1_5ATR,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-17,1450.5420815560217,1422.5,1520.65,28.042081556021685,1.933213928267456,2.5,1401.6789190098707,-1.0,False,True,False,18,False
PULLBACK_CHALL_B_1_8ATR,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-17,1450.5420815560217,1385.27,1613.72,65.2720815560217,4.499840603452414,2.5,1363.1919208062293,-1.0,False,True,False,20,False
PULLBACK_CHALL_C_2ATR_SHELF,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-17,1450.5420815560217,1399.77,1577.47,50.7720815560217,3.5002143130902907,2.5,1399.77,-1.0,False,True,False,18,False
PULLBACK_CHALL_D_ADAPTIVE,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-17,1450.5420815560217,1399.77,1577.47,50.7720815560217,3.5002143130902907,2.5,1399.77,-1.0,False,True,False,18,False
PULLBACK_CHALL_E_CONFIRMED_TURN,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-17,1450.5420815560217,1399.77,1577.47,50.7720815560217,3.5002143130902907,2.5,1399.77,-1.0,False,True,False,18,False
PULLBACK_CHAMPION_V1,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-22,1462.114784782128,1389.01,1644.88,73.10478478212804,4.999934720790167,2.5,1388.5386941670083,-1.0,False,True,False,16,False
PULLBACK_CHALL_A_1_5ATR,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-22,1462.114784782128,1430.8,1540.4,31.314784782128072,2.1417459906743463,2.5,1430.1854549667348,-1.0,False,True,False,14,False
PULLBACK_CHALL_B_1_8ATR,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-22,1462.114784782128,1396.32,1626.6,65.79478478212809,4.499973973789771,2.5,1388.5386941670083,-1.0,False,True,False,16,False
PULLBACK_CHALL_C_2ATR_SHELF,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-22,1462.114784782128,1410.94,1590.05,51.17478478212797,3.5000524797889656,2.5,1401.6789190098707,-1.0,False,True,False,15,False
PULLBACK_CHALL_D_ADAPTIVE,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-22,1462.114784782128,1410.94,1590.05,51.17478478212797,3.5000524797889656,2.5,1401.6789190098707,-1.0,False,True,False,15,False
PULLBACK_CHALL_E_CONFIRMED_TURN,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-22,1462.114784782128,1410.94,1590.05,51.17478478212797,3.5000524797889656,2.5,1401.6789190098707,-1.0,False,True,False,15,False
PULLBACK_CHAMPION_V1,AARTIIND,BULL_1_EXPANSION,BULL,2025-01-24,1487.19615784537,1412.84,1673.09,74.35615784537003,4.999754568563184,2.5,1401.6789190098707,-1.0,False,True,False,13,False
